name,PLD,desity(g/cm^3),VSA(m^2/cm^3),GSA(m^2/g),Vp(cm^3/g),void_fraction,C/wt%,H/wt%,N/wt%,F/wt%,total degree of unsaturation,metalic percentage,electronegtive-to-total ratio,weighted electronegativity per atom,target
GeFSIX_1_Fe,7.49125,0.89194,1582.39,1774.1,0.631489,0.56325,43.29544246,2.906789177,10.09806448,20.54433809,9,5,0.208333333,2.546666667,53.57427323
GeFSIX_1_Ni,7.28912,0.935597,1544.01,1650.3,0.587486,0.54965,43.07434098,2.891944765,10.04649561,20.43942211,9,5,0.208333333,2.546666667,49.89641507
GeFSIX_1_Zn,7.39677,0.915954,1573.43,1717.8,0.613753,0.56217,42.56397354,2.857679482,9.927459451,20.19724509,9,5,0.208333333,2.581041667,51.82484078
GeFSIX_13_Cd_i,4.01681,1.30109,613.262,471.346,0.297674,0.3873,37.3639022,2.090462266,21.78653643,14.77477758,21,4.166666667,0.3,2.612666667,29.14846547
GeFSIX_13_Fe_i,3.78928,1.26894,140.584,110.789,0.282393,0.35834,40.32008325,2.255856793,23.51025752,15.94373786,21,4.166666667,0.3,2.612666667,26.86446913
GeFSIX_13_Zn_i,3.74939,1.2905,131.43,101.844,0.27642,0.35672,39.78941963,2.226166847,23.2008326,15.73389797,21,4.166666667,0.3,2.640166667,26.30664056
GeFSIX_15_Cd_i,11.13808,0.777011,1634.27,2103.27,0.759269,0.58996,55.88539098,2.814044165,6.517248118,13.25922893,97,2.5,0.131578947,2.511052632,64.05702039
GeFSIX_15_Co_i,10.66914,0.781778,1588.66,2032.11,0.728391,0.56944,59.59233997,3.00070329,6.949545466,14.13873043,97,2.5,0.131578947,2.511052632,60.93028012
GeFSIX_15_Cu_i,10.73698,0.773821,1596.22,2062.77,0.742898,0.57487,59.25330281,2.983631466,6.910007597,14.05829132,97,2.5,0.131578947,2.536052632,61.81956277
GeFSIX_15_Fe_i,10.93404,0.771457,1588.5,2059.09,0.740858,0.57154,59.82147193,3.012240964,6.9762664,14.19309371,97,2.5,0.131578947,2.511052632,62.00755416
GeFSIX_15_Ni_i,10.80683,0.782201,1583.55,2024.48,0.728163,0.56957,59.61008523,3.001596832,6.951614884,14.14294063,97,2.5,0.131578947,2.511052632,60.64866074
GeFSIX_15_Zn_i,10.87705,0.778715,1589.97,2041.78,0.735057,0.5724,59.11958044,2.976898031,6.894413148,14.02656468,97,2.5,0.131578947,2.532763158,61.26690417
GeFSIX_16_Co_i,8.20523,0.652775,1978.04,3030.2,0.972969,0.63513,65.16772102,3.365584767,5.845950624,11.89348575,65,1.923076923,0.104166667,2.49,82.86425155
GeFSIX_16_Ni_i,8.34375,0.660748,1943.5,2941.37,0.952694,0.62949,65.18404412,3.366427773,5.847414908,11.89646481,65,1.923076923,0.104166667,2.49,81.44452812
